Название статьи,Ссылка на текст,LLM,Среда/датасет,Как представляется план,Метрики качества,Тип обратной связи,Какие проблемы решаются/ вклад статьи,Основные особенности,Комментарии,Ссылка на код и/или блог
Translating natural language commands to temporal robot task specification,https://arxiv.org/pdf/2302.11649v1.pdf,GPT series models and the T5-Base model,Собрали свой датасет - https://drive.google.com/drive/folders/1ept4vnvlUevzqUellFt938vV2VDcgdwb,"Input command: 
Go to bookshelf, then workstation A, then go to counter, then back to workstation A.
 
LTL Formula:
F(bookshelf ∧ F(deska ∧ F(kitchen counter ∧ Fdeska)))",Accuracy,-,"Основная ценность данной работы заключается в предложении модульного подхода к переводу естественного языка на спецификации задач линейной временной логики (LTL) для робототехнических систем в контексте навигационных задач. Этот подход предлагает решение следующих задач:

Распознавание референтных выражений RER: Задача состоит в выделении из высказывания номинативных фраз, которые относятся к отдельным объектам в окружающей среде. Это позволяет определить, на что конкретно ссылаются в высказывании. Например, в предложении ""Иди в кафе на улице Мейн, затем в банк, а потом в Макдоналдс"", референтными выражениями будут ""кафе на улице Мейн"", ""банк"" и ""Макдоналдс"".

Привязка референтных выражений к семантической информации о среде (Referring Expression Grounding): Задача состоит в том, чтобы каждому референтному выражению сопоставить идентификатор объекта из набора предопределенных позиций в среде (например, местоположения на карте) и сопоставить его с заранее известными понятиями. Это позволяет привязать естественные выражения к конкретным объектам в среде.

Символьный перевод (Symbolic Translation): Задача состоит в том, чтобы преобразовать естественные выражения в формальные символьные представления, например, LTL формулы. Это включает в себя перевод выражений в набор символов и операторов LTL, а также описание логики последовательности действий. Например, перевод выражения ""Иди в A, затем в B"" в LTL формулу ""F(A ∧ F B)"".","В работе исследуются и сравниваются различные модели для генерации символьных представлений LTL формул на основе NL.
Использовали классические модели на основе Seq2Seq трансформеров, так и  предварительно обученные модели типа GPT-3.",,
Plug in the Safety Chip: Enforcing Constraints for LLM-driven Robot Agents,2309.09919.pdf (arxiv.org),GPT 4,Virtualhome,"План задачи описывается на естественном языке,
После этого план переводится в LTL, затем план анализируется и верифицируется и после может быть возвращен обратно на естественный язык

",Safety rate,,"Основная проблема, которую решает статья, является обеспечение безопасности при использовании систем с естественным языком (LLM), которые могут использоваться в качестве агентов для управления роботами.

Главные вопросы, решаемые в статье:

1.Разработка метода обеспечения безопасности для систем понимания естественного языка, работающих в промышленной среде.
2.Создание ""чипа безопасности"", который обеспечивает проверяемые гарантии безопасности, даже если исходная система понимания языка не имеет таких гарантий.
3.Разработка стратегии rteprompting, которая позволяет системам LLM перепланировать действия для предотвращения нарушения безопасности.

Основные вклады статьи:

1.Предложен метод обеспечения безопасности для систем понимания естественного языка с использованием ""чипа безопасности"", который включает в себя формализацию безопасных ограничений, их проверку и применение к исходной системе LLM.
2/Разработана стратегия переподталкивания, которая позволяет системам LLM исправлять планы действий для соблюдения безопасности.
3.Введена система запросов, которая обеспечивает обратную связь агенту LLM о причинах нарушения безопасности и помогает в переподталкивании.","данный подход представляет собой метод верификации плана, который обеспечивает безопасность и соответствие ограничениям",,
AutoTAMP,2306.06531.pdf (arxiv.org),GPT-4,"(Все среды 2D)HouseWorld and Chip’s Challenge are single-agent scenarios. Overcooked, Rover, and Wall are multi-agent scenarios.","Используется LLM для перевода естественного языка в формализованные выражения временной логики (STL), после чего строится траектория с использованием формального планировщика",TASK SUCCESS ,"Любые ошибки предоставляются в качестве обратной связи при повторном запросе модели для создания исправленного STL. Процесс повторяется до тех пор, пока ошибки не будут исправлены (до пяти итераций)","Планирование движения с использованием LLM (LLM End-to-end Motion Planning):
Статья предлагает использовать LLM для напрямую генерации траектории на основе инструкций на естественном языке. Однако возникают проблемы с нарушением ограничений траектории из-за ограниченных пространственных и числовых рассуждений LLM. В статье представлен метод повторного предложения (re-prompting), позволяющий модели генерировать новые траектории при нарушении ограничений.

Планирование задач с использованием LLM (LLM Task Planning):
Статья также рассматривает использование LLM для генерации последовательности подзадач на основе инструкций на естественном языке. Подзадачи затем передаются независимому планировщику движения. Статья сравнивает несколько методов, включая наивное планирование задач, метод SayCan и метод LLM Task Planning + Feedback, который включает проверку выполнимости подзадач и возможность повторного предложения для исправления ошибок.

Трансляция и проверка спецификации LLM с обратной связью (Autoregressive LLM Specification Translation & Checking):
В этом подходе предлагается использовать LLM для перевода естественноязыковых инструкций в формальные выражения на языке временной логики сигналов (STL), а затем планировать траекторию с использованием STL-планировщика. Для улучшения производительности перевода и проверки предлагаются техники повторного предложения для исправления синтаксических и семантических ошибок.","Синтаксическая проверка и семантическая проверка:
Синтаксическая проверка: Поскольку открытое преобразование может страдать от синтаксических ошибок, вводятся методы проверки синтаксиса. Используется верификатор для проверки синтаксических ошибок (применяется простой проверчик синтаксиса STL на основе правил); любые ошибки предоставляются в качестве обратной связи при повторном запросе модели для создания исправленного STL. Процесс повторяется до тех пор, пока ошибки не будут исправлены (до пяти итераций).

Семантическая проверка: Для семантических ошибок предлагается новый авторегрессивный метод повторного запроса; в качестве контекста ряд состояний, сгенерированных планировщиком STL (например, [[в(дорога), 0], [в(красная кухня), 0.5], [в(синяя ванная2), 1.2], ...]), предоставляется вместе с исходной инструкцией, и LLM запрашивается, чтобы проверить, соответствует ли план семантике инструкции. Если это не так, LLM запрашивается для изменения STL, что приводит к повторному запросу синтаксической и семантической проверок. Этот процесс завершается в случае отсутствия обнаруженных ошибок или отсутствия изменений в STL (до трех итераций).",,
Cook2LTL,https://arxiv.org/abs/2310.00163,"NER - BERT,
Another parts - GPT4","Датасет - обычные рецепты, среда AI2Thor",Подается последовательность шагов на NL затем переводится в LTL,Executability,-,"Статья представляет систему Cook2LTL, которая переводит рецепты в LTL, все рецепты построены на манипуляциях с объектами

Модульная архитектура:
1) Semantically parses r
into a function representation a
for every detected high-level action.
2) Reduces each high-level action a ∈ A/ to a combination
of primitive actions from A.
3) Caches the action reduction policy for future use,
thereby gradually building an action library that consists of parametric functions that express high-level
cooking actions in the form of primitive actions.
4) Translates r
into an LTL formula ϕ with function
representations as atomic propositions.
","Работает на рецептах по приготовлению пищи, может быть интересно встроит в планировщик, который работает в интерактивной среде, посмотреть как справляется",,
Lang2LTL,https://arxiv.org/abs/2302.11649,"Finetuned LLM: T5-Base

Prompt LLM:  GPT-3 and GPT-4 

Seq2Seq Transformers: trained an encoder-decoder model",Датасет в основном состоит из навигационных задач,,,-,"Lang2LTL система модульная как Cook2LTL:

Распознавание выражений (RER): 
Этот этап выделяет подстроки в команде пользователя, которые относятся к утверждениям о мире, например, названиям объектов или мест. Система использует адаптированные модели GPT-4 для достижения высокой производительности в этом задании.

Привязка выражений (REG):
 Этот этап ассоциирует распознанные выражения с конкретными утверждениями о мире, используя векторные представления (эмбеддинги) для измерения сходства между распознанными выражениями и предложениями о мире.

Lifted Translation:
Этот этап переводит поднятое выражение (символическое представление) в LTL формулы. Такой подход сокращает размер словаря и позволяет использовать данные из различных областей для обучения модели.","В отличие от Cook2LTL есть модуль привязки к среде, т.е можно импортировать в разные среды",,
Obtaining Hierarchy from Human Instructions: an LLMs-based Approach,https://openreview.net/pdf?id=sy9YuA8GzY,,,,,,,,,
Decomposition-based Hierarchical Task Allocation and Planning for Multi-Robots under Hierarchical Temporal Logic Specifications,https://arxiv.org/pdf/2308.10393.pdf,,,,,,,,,
Conformal Temporal Logic Planning using Large Language Models,https://arxiv.org/pdf/2309.10092.pdf,,,,,,,,,
Unifying Large Language Models and Knowledge Graphs: A Roadmap,https://arxiv.org/pdf/2306.08302.pdf,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Errors are Useful Prompts: Instruction Guided Task Programming with Verifier-Assisted Iterative Prompting,2303.14100.pdf (arxiv.org),,,,,,,,,
calable Multi-Robot Collaboration with Large Language Models: Centralized or Decentralized Systems?,2309.15943.pdf (arxiv.org),,,,,,,,,
On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS),[2401.02500] On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS) (arxiv.org),,,,,,,,,https://github.com/GuanSuns/LLMs-World-Models-for-Planning
RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,https://arxiv.org/pdf/2307.04738.pdf,,,,,,,,,GitHub - HRI-EU/Loom
Leveraging Pre-trained Large Language Models to Construct and Utilize World Models for Model-based Task Planning,2305.14909.pdf (arxiv.org),,,,,,,,,
Chain-of-Verification Reduces Hallucination in Large Language Models,[2309.11495] Chain-of-Verification Reduces Hallucination in Large Language Models (arxiv.org),,,,,,,,,
Real-World Planning with PDDL+ and Beyond,https://arxiv.org/pdf/2402.11901.pdf,,,,,,,,,https://github.com/h2r/Lang2LTL
TALplanner: An Empirical Investigation of a Temporal Logic-based Forward Chaining Planner,https://www.ida.liu.se/~jonkv82/papers/time99.pdf,,,,,,,,,
